,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Grant Ament,A,6,6,14,20,0.5,0,0,0,25,18,24.0,33.3,11,13,0,0,0,,archers
1,Tom Schreiber,"M,F",6,12,4,16,0.0,0,0,0,29,21,41.4,57.1,6,14,0,0,0,,archers
2,Will Manny,A,6,10,4,14,0.0,1,0,0,39,28,25.6,35.7,7,10,0,0,0,,archers
3,Christian Mazzone,M,6,9,0,9,0.5,0,0,0,13,12,69.2,75.0,9,4,1,0,0,,archers
4,Ryan Ambler,A,6,4,5,9,0.0,0,0,0,19,12,21.1,33.3,0,2,2,0,0,,archers
5,Marcus Holman,"F,A",6,6,1,7,1.5,1,0,0,26,17,23.1,35.3,14,3,3,0,0,,archers
6,Josh Currier,F,6,6,0,6,0.0,1,0,0,14,11,42.9,54.5,2,2,1,0,0,,archers
7,Scott Ratliff,D,6,3,3,6,0.5,0,0,0,8,5,37.5,60.0,17,2,5,0,0,,archers
8,Joey Sankey,A,6,3,3,6,0.0,0,0,0,9,5,33.3,60.0,1,3,0,0,0,,archers
9,Ian MacKay,M,6,3,1,5,0.0,1,0,0,21,12,14.3,25.0,4,6,0,3,1,33.3,archers
10,Brendan Fowler,M,6,1,0,1,0.0,0,0,0,2,2,50.0,50.0,13,3,0,66,31,47.0,archers
11,Dominique Alexander,M,6,0,0,0,0.0,0,0,0,0,0,,,2,1,2,0,0,,archers
12,Curtis Corley,D,6,0,0,0,0.0,0,0,0,0,0,,,5,1,3,0,0,,archers
13,Eli Gobrecht,D,6,0,0,0,2.0,0,0,0,0,0,,,12,2,4,0,0,,archers
14,Jack Rapine,D,6,0,0,0,0.0,0,0,0,0,0,,,1,0,2,0,0,,archers
15,Drew Adams,G,6,0,0,0,0.0,0,0,0,1,0,0.0,,4,0,0,0,0,,archers
16,Stephen Kelly,M,6,0,0,0,0.0,0,0,0,1,0,0.0,,23,3,0,81,40,49.4,archers
17,Matt McMahon,D,6,0,0,0,2.0,0,0,0,1,0,0.0,,10,1,12,0,0,,archers
18,Mark McNeill,F,6,0,0,0,0.0,0,0,0,1,0,0.0,,13,5,2,0,0,,archers
19,Tyler Pfister,M,6,0,0,0,0.5,0,0,0,1,0,0.0,,3,4,2,0,0,,archers
20,Michael Simon,D,6,0,0,0,0.5,0,0,0,1,0,0.0,,5,2,1,0,0,,archers
21,Adam Ghitelman,G,6,0,0,0,0.0,0,0,0,2,0,0.0,,5,0,1,0,0,,archers
22,Totals,,132,63,35,99,8.0,4,0,0,213,143,29.6,44.1,167,81,41,150,72,48.0,archers
