,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Rob Pannell,A,5,6,9,15,0.0,0,0,0,34,17,17.6,35.3,14,14,1,0,0,,atlas
1,Bryan Costabile,M,5,7,1,9,0.0,0,0,0,25,17,28.0,41.2,8,9,2,0,0,,atlas
2,Chris Cloutier,A,5,7,0,7,0.0,0,0,0,17,8,41.2,87.5,2,8,0,0,0,,atlas
3,Eric Law,A,5,5,2,7,0.0,0,0,0,12,9,41.7,55.6,9,7,3,0,0,,atlas
4,Connor Buczek,"M,D",5,3,3,7,0.0,1,0,0,27,15,11.1,20.0,3,8,1,0,0,,atlas
5,Ryan Brown,A,5,6,0,6,0.5,2,0,0,23,15,26.1,40.0,5,3,0,0,0,,atlas
6,Romar Dennis,M,5,4,1,6,1.5,0,0,0,18,8,22.2,50.0,2,0,2,0,0,,atlas
7,John Crawley,M,5,3,2,5,0.0,0,0,0,11,7,27.3,42.9,3,1,0,0,0,,atlas
8,Paul Rabil,M,5,1,4,5,0.5,0,0,0,19,8,5.3,12.5,3,4,0,0,0,,atlas
9,Trevor Baptiste,F,5,1,0,1,1.0,0,0,0,3,2,33.3,50.0,22,1,2,106,57,53.8,atlas
10,Craig Chick,D,5,0,1,1,0.5,0,0,0,0,0,,,13,1,5,0,0,,atlas
11,Kevin Unterstein,M,5,0,1,1,1.0,0,0,0,1,0,0.0,,7,2,2,0,0,,atlas
12,Joel Tinney,M,5,0,1,1,0.5,0,0,0,2,1,0.0,0.0,11,2,2,0,0,,atlas
13,Tucker Durkin,D,3,0,0,0,0.0,0,0,0,1,1,0.0,0.0,1,0,5,0,0,,atlas
14,Austin Pifani,D,5,0,0,0,4.0,0,0,0,0,0,,,12,3,4,0,0,,atlas
15,Jacob Richard,M,5,0,0,0,0.5,0,0,0,0,0,,,1,1,1,0,0,,atlas
16,Scott Rodgers,G,5,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,atlas
17,Jeremy Thompson,M,5,0,0,0,0.0,0,0,0,0,0,,,0,0,0,7,0,0.0,atlas
18,Jack Concannon,G,5,0,0,0,0.0,0,0,0,0,0,,,7,1,0,0,0,,atlas
19,Callum Robinson,D,5,0,0,0,1.0,0,0,0,1,0,0.0,,3,0,0,3,1,33.3,atlas
20,Cade Van Raaphorst,D,5,0,0,0,2.5,0,0,0,4,0,0.0,,21,2,12,0,0,,atlas
21,Kyle Hartzell,D,5,0,0,0,1.0,0,0,0,4,2,0.0,0.0,7,1,1,0,0,,atlas
22,Totals,,108,43,25,71,14.5,3,0,0,202,110,21.3,39.1,154,68,43,116,58,50.0,atlas
