,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Josh Byrne,A,7,13,7,20,1.0,1,0,0,44,28,29.5,46.4,8,8,6,0,0,,chaos
1,Curtis Dickson,A,7,12,6,18,0.5,0,0,0,43,25,27.9,48.0,7,4,1,0,0,,chaos
2,Dhane Smith,T,7,6,4,10,0.0,1,0,0,19,12,31.6,50.0,8,9,1,0,0,,chaos
3,Jake Froccaro,M,7,5,3,10,0.0,1,0,0,31,15,16.1,33.3,12,3,3,5,0,0.0,chaos
4,Sergio Salcido,M,7,7,1,8,0.5,0,0,0,26,18,26.9,38.9,4,5,0,0,0,,chaos
5,Connor Fields,A,6,6,1,7,0.0,0,0,0,19,10,31.6,60.0,5,10,0,0,0,,chaos
6,Austin Staats,F,7,5,1,6,2.0,0,0,0,12,10,41.7,50.0,2,7,0,0,0,,chaos
7,Miles Thompson,A,7,4,1,5,0.0,1,0,0,11,10,36.4,40.0,0,5,0,0,0,,chaos
8,Eric Scott,M,7,2,2,4,0.0,0,0,0,16,11,12.5,18.2,4,3,1,0,0,,chaos
9,Patrick Resch,F,7,3,0,3,1.0,0,0,0,3,3,100.0,100.0,8,2,2,0,0,,chaos
10,Kevin Buchanan,"A,M",7,2,1,3,0.0,0,0,0,9,6,22.2,33.3,2,1,0,0,0,,chaos
11,Troy Reh,M,7,1,1,3,0.0,0,0,0,3,2,33.3,50.0,17,4,2,1,0,0.0,chaos
12,Mark Glicini,M,7,1,1,2,0.5,0,0,0,4,2,25.0,50.0,11,0,3,0,0,,chaos
13,Tyson Bell,D,7,0,1,1,3.0,0,0,0,0,0,,,7,0,2,0,0,,chaos
14,Jason Noble,D,7,0,1,1,1.0,0,0,0,0,0,,,4,3,5,0,0,,chaos
15,Thomas Kelly,FO,7,0,1,1,1.0,0,0,0,3,0,0.0,,23,5,0,157,59,37.6,chaos
16,Johnny Surdick,D,1,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,chaos
17,Jack Rowlett,D,6,0,0,0,0.5,0,0,0,1,0,0.0,,8,1,9,4,0,0.0,chaos
18,Dan Coates,D,7,0,0,0,0.0,0,0,0,0,0,,,6,1,6,0,0,,chaos
19,Dillon Ward,G,7,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,chaos
20,Blaze Riorden,"F,G",7,0,0,0,0.0,0,0,0,3,1,0.0,0.0,10,5,1,0,0,,chaos
21,Jarrod Neumann,D,7,0,0,0,1.0,0,0,0,4,2,0.0,0.0,16,6,7,0,0,,chaos
22,Matt Rees,D,7,0,0,0,2.0,0,0,0,4,2,0.0,0.0,17,3,3,0,0,,chaos
23,Totals,,153,67,32,102,14.0,4,0,0,255,157,26.3,42.7,179,85,52,167,59,35.3,chaos
