,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Jordan Wolf,A,5,10,8,18,0.0,1,0,0,32,20,31.3,50.0,11,8,1,0,0,,chrome
1,Justin Guterding,A,5,10,6,16,0.0,0,0,0,32,21,31.3,47.6,5,8,2,0,0,,chrome
2,Jesse King,F,5,8,2,10,0.0,2,0,0,19,12,42.1,66.7,3,4,0,0,0,,chrome
3,Ned Crotty,A,4,3,7,10,0.0,0,0,0,11,4,27.3,75.0,3,7,0,0,0,,chrome
4,Jordan Macintosh,M,5,8,1,9,0.0,1,0,0,22,13,36.4,61.5,7,5,2,0,0,,chrome
5,Matt Gaudet,A,5,8,0,8,0.0,2,0,0,16,9,50.0,88.9,2,2,2,0,0,,chrome
6,John Ranagan,M,5,4,2,6,0.0,0,0,0,18,9,22.2,44.4,2,5,0,0,0,,chrome
7,Sam Duggan,M,5,3,1,5,1.0,0,0,0,5,3,60.0,100.0,10,1,2,0,0,,chrome
8,Will Haus,M,5,3,1,4,2.0,0,0,0,4,4,75.0,75.0,9,4,2,0,0,,chrome
9,Eli Salama,D,5,1,1,3,1.0,0,0,0,4,2,25.0,50.0,5,0,2,0,0,,chrome
10,Brendan Kavanagh,M,5,1,1,3,0.0,0,0,0,9,3,11.1,33.3,5,3,1,0,0,,chrome
11,Mike Manley,D,5,1,0,1,1.0,0,0,0,5,1,20.0,100.0,13,4,5,0,0,,chrome
12,Reece Eddy,LSM,5,1,0,1,3.0,0,0,0,2,2,50.0,50.0,13,2,5,0,0,,chrome
13,James Barclay,D,5,0,1,1,2.0,0,0,0,1,1,0.0,0.0,7,0,1,0,0,,chrome
14,Connor Farrell,F,5,0,1,1,0.0,0,0,0,2,1,0.0,0.0,34,8,0,116,72,62.1,chrome
15,Brett Queener,"G,F",5,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,chrome
16,Donny Moss,"M,D",5,0,0,0,0.5,0,0,0,1,0,0.0,,2,0,2,0,0,,chrome
17,Hunter Forbes,F,5,0,0,0,0.0,0,0,0,1,0,0.0,,3,0,1,18,4,22.2,chrome
18,John Galloway,G,5,0,0,0,0.0,0,0,0,1,0,0.0,,6,2,1,0,0,,chrome
19,Jake Pulver,D,5,0,0,0,0.5,0,0,0,1,1,0.0,0.0,8,1,4,0,0,,chrome
20,Jesse Bernhardt,D,5,0,0,0,3.0,0,0,0,2,1,0.0,0.0,9,3,4,0,0,,chrome
21,Justin Turri,M,5,0,0,0,0.0,0,0,0,2,2,0.0,0.0,0,0,0,0,0,,chrome
22,Totals,,109,61,32,96,14.0,6,0,0,190,109,32.1,56.0,157,67,37,134,76,56.7,chrome
