,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
0,Tom Schreiber,M,10.0,17.0,18.0,37.0,,0.0,0.0,0.0,59.0,29.0,28.8,58.6,9.0,22.0,1.0,0.0,0.0,,Archers LC,2019
1,Marcus Holman,A,10.0,23.0,7.0,32.0,,0.0,0.0,0.0,74.0,43.0,31.1,53.5,17.0,19.0,0.0,0.0,0.0,,Archers LC,2019
2,Will Manny,A,10.0,22.0,7.0,30.0,,0.0,0.0,0.0,74.0,50.0,29.7,44.0,7.0,20.0,1.0,0.0,0.0,,Archers LC,2019
3,Ben McIntosh,M,10.0,11.0,2.0,13.0,,0.0,0.0,0.0,44.0,27.0,25.0,40.7,7.0,7.0,0.0,0.0,0.0,,Archers LC,2019
4,Christian Cuccinello,A,8.0,8.0,4.0,12.0,,0.0,0.0,0.0,28.0,17.0,28.6,47.1,10.0,7.0,0.0,0.0,0.0,,Archers LC,2019
5,Ryan Ambler,A,9.0,3.0,7.0,10.0,,0.0,0.0,0.0,14.0,6.0,21.4,50.0,5.0,6.0,0.0,0.0,0.0,,Archers LC,2019
6,Daniel Eipp,M,9.0,5.0,4.0,9.0,,0.0,0.0,0.0,19.0,12.0,26.3,41.7,3.0,4.0,1.0,0.0,0.0,,Archers LC,2019
7,Joey Sankey,A,5.0,4.0,5.0,9.0,,0.0,0.0,0.0,29.0,19.0,13.8,21.1,8.0,6.0,1.0,0.0,0.0,,Archers LC,2019
8,Kevin Rice,A,6.0,3.0,4.0,7.0,,0.0,0.0,0.0,27.0,17.0,11.1,17.6,4.0,7.0,0.0,0.0,0.0,,Archers LC,2019
9,Stephen Kelly,FO,10.0,3.0,4.0,7.0,,0.0,0.0,0.0,8.0,7.0,37.5,42.9,58.0,5.0,0.0,192.0,94.0,49.0,Archers LC,2019
10,Scott Ratliff,LSM,10.0,2.0,2.0,4.0,,0.0,0.0,0.0,15.0,6.0,13.3,33.3,29.0,8.0,13.0,8.0,1.0,12.5,Archers LC,2019
11,Ian MacKay,M,4.0,2.0,1.0,3.0,,0.0,0.0,0.0,11.0,7.0,18.2,28.6,1.0,3.0,0.0,0.0,0.0,,Archers LC,2019
