,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Kieran McArdle,"A,F",5,8,6,14,2.0,0,0,0,26,18,30.8,44.4,6,15,2,0,0,,waterdogs
1,Connor Kelly,M,5,7,1,10,0.0,2,0,0,31,18,22.6,38.9,5,3,1,0,0,,waterdogs
2,Zach Currier,M,4,4,3,7,0.0,1,0,0,8,5,50.0,80.0,20,6,2,0,0,,waterdogs
3,Ben McIntosh,F,5,6,0,6,0.0,0,0,0,21,16,28.6,37.5,3,2,1,0,0,,waterdogs
4,Christian Cuccinello,M,5,3,2,5,0.0,0,0,0,10,7,30.0,42.9,2,3,0,0,0,,waterdogs
5,Wesley Berg,F,5,1,4,5,0.5,0,0,0,12,9,8.3,11.1,3,4,1,0,0,,waterdogs
6,Drew Snider,M,5,4,0,4,0.0,1,0,0,26,15,15.4,26.7,4,1,0,0,0,,waterdogs
7,Ryan Drenner,A,5,3,1,4,0.0,0,0,0,14,6,21.4,50.0,5,5,2,0,0,,waterdogs
8,Ryland Rees,M,5,2,0,4,2.0,0,0,0,10,5,20.0,40.0,16,3,6,0,0,,waterdogs
9,Steve DeNapoli,"M,D",5,1,1,3,0.0,0,0,0,7,4,14.3,25.0,14,1,6,0,0,,waterdogs
10,Ben Reeves,A,5,0,3,3,0.0,0,0,0,9,6,0.0,0.0,3,2,1,0,0,,waterdogs
11,Drew Simoneau,FO,5,2,0,2,0.0,0,0,0,2,2,100.0,100.0,11,2,1,53,29,54.7,waterdogs
12,Daniel Eipp,A,5,1,0,1,0.0,0,0,0,1,1,100.0,100.0,2,0,0,0,0,,waterdogs
13,Jake Withers,M,5,0,1,1,1.0,0,0,0,1,1,0.0,0.0,14,0,3,59,34,57.6,waterdogs
14,Kyle McClancy,M,5,0,0,0,0.0,0,0,0,0,0,,,3,0,2,0,0,,waterdogs
15,Brodie Merrill,D,5,0,0,0,1.5,0,0,0,0,0,,,10,1,3,0,0,,waterdogs
16,Charlie Cipriano,G,5,0,0,0,0.0,0,0,0,0,0,,,2,2,0,0,0,,waterdogs
17,Patrick Foley,D,5,0,0,0,0.0,0,0,0,0,0,,,3,1,3,0,0,,waterdogs
18,BJ Grill,D,5,0,0,0,0.0,0,0,0,0,0,,,9,1,6,0,0,,waterdogs
19,Matt DeLuca,G,5,0,0,0,0.0,0,0,0,1,0,0.0,,1,2,2,0,0,,waterdogs
20,Chris Sabia,D,5,0,0,0,0.0,0,0,0,3,1,0.0,0.0,10,2,5,0,0,,waterdogs
21,Noah Richard,D,5,0,0,0,1.5,0,0,0,4,3,0.0,0.0,11,4,4,0,0,,waterdogs
22,Totals,,109,42,22,69,8.5,4,0,0,186,117,22.6,35.9,157,60,51,112,63,56.3,waterdogs
