,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Matt Rambo,A,6,7,18,25,0.0,0,0,0,22,14,31.8,50.0,6,15,1,0,0,,whipsnakes
1,Zed Williams,A,6,20,3,23,0.0,0,0,0,59,37,33.9,54.1,9,16,3,0,0,,whipsnakes
2,Brad Smith,A,6,8,7,15,0.0,0,0,0,29,20,27.6,40.0,10,7,0,0,0,,whipsnakes
3,Mike Chanenchuk,M,6,8,4,14,0.0,3,0,0,28,16,28.6,50.0,4,6,1,0,0,,whipsnakes
4,Jay Carlson,A,6,12,1,13,0.5,2,0,0,26,22,46.2,54.5,17,4,0,0,0,,whipsnakes
5,John Haus,M,6,8,5,13,0.0,0,0,0,32,21,25.0,38.1,9,8,1,0,0,,whipsnakes
6,Michael Ehrhardt,D,6,2,3,7,0.0,0,0,0,9,4,22.2,50.0,26,2,7,0,0,,whipsnakes
7,Joe Nardella,M,6,3,3,6,0.0,0,0,0,8,5,37.5,60.0,65,5,1,138,100,72.5,whipsnakes
8,Joe LoCascio,M,6,5,0,5,0.0,0,0,0,18,12,27.8,41.7,1,2,0,0,0,,whipsnakes
9,Max Tuttle,M,6,3,0,3,0.0,0,0,0,13,5,23.1,60.0,6,3,0,0,0,,whipsnakes
10,Tim Muller,D,6,1,0,1,0.0,0,0,0,1,1,100.0,100.0,10,1,5,0,0,,whipsnakes
11,Jeremy Sieverts,M,6,1,0,1,0.0,0,0,0,4,3,25.0,33.3,2,3,0,0,0,,whipsnakes
12,Isaac Paparo,D,6,0,1,1,0.0,0,0,0,0,0,,,2,0,0,0,0,,whipsnakes
13,Matt Hubler,M,0,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,whipsnakes
14,Kyle Bernlohr,G,6,0,0,0,0.0,0,0,0,0,0,,,12,3,1,0,0,,whipsnakes
15,TJ Comizio,M,6,0,0,0,0.5,0,0,0,0,0,,,6,1,1,0,0,,whipsnakes
16,Brett Schmidt,"D,A",6,0,0,0,0.0,0,0,0,0,0,,,3,1,0,0,0,,whipsnakes
17,Matt Dunn,D,6,0,0,0,0.0,0,0,0,1,0,0.0,,7,1,2,0,0,,whipsnakes
18,Bryce Young,D,6,0,0,0,6.0,0,0,0,1,0,0.0,,9,1,3,0,0,,whipsnakes
19,Joe McCallion,M,6,0,0,0,0.0,0,0,0,2,0,0.0,,0,1,0,11,4,36.4,whipsnakes
20,Jacob Stover,G,6,0,0,0,0.0,0,0,0,1,1,0.0,0.0,1,0,0,0,0,,whipsnakes
21,Tyler Warner,M,6,0,0,0,1.5,0,0,0,2,1,0.0,0.0,16,2,0,0,0,,whipsnakes
22,Jake Bernhardt,"M,F",6,0,0,0,1.0,0,0,0,2,2,0.0,0.0,2,2,7,0,0,,whipsnakes
23,Totals,,132,78,45,127,9.5,5,0,0,258,164,30.2,47.6,223,84,33,149,104,69.8,whipsnakes
